tweet,username,hash-tags,Date,Day,tweet_id,likes,retweets,polarity
tweet,username,hash-tags,Date,Day,tweet_id,likes,retweets,polarity
Praying for and family keep streaming #TMC,dwntwnkay,['TMC'],2019-05-04,Sat,1124783934200528896,0,0.1,0.0
Had to listen to Victory Lap to get me through me day Lord knows it was a struggle #TMC,ItsSunnyDuh,['TMC'],2019-05-04,Sat,1124781123622580226,0,0.0,0.0
#NipseyHussle speaks on Love and Inspiration #TMC,Reggie_Jamal,"['NipseyHussle', 'TMC']",2019-05-04,Sat,1124780399819776000,0,0.0,0.5
Gotta pace yourself it’s all about your breathing #TMC,EyesOnMATT,['TMC'],2019-05-04,Sat,1124780315426283522,0,0.0,0.0
Coming soon!!!!!! #BuildingAnEMPIRE #TMC #NipTheGreat,HeckmanMarcus,"['BuildingAnEMPIRE', 'TMC', 'NipTheGreat']",2019-05-04,Sat,1124779616818700288,0,0.0,0.0
Goalz!! #whyweoutchea #MadSho #gearrental #gearhouse #TMC #AllMoneyIn #HussleandMotivate #storytellerschangetheworld #whatsyourstory,85nStill,"['whyweoutchea', 'MadSho', 'gearrental', 'gearhouse', 'TMC', 'AllMoneyIn', 'HussleandMotivate', 'storytellerschangetheworld', 'whatsyourstory']",2019-05-04,Sat,1124778950389972992,0,0.0,0.0
Damn This why I work Saturday and Sunday too What’s a weekend #TMC,pilon_dylan,['TMC'],2019-05-04,Sat,1124778166252384257,1,1.0,0.0
What a hypocrite even gives 1 stops #bhobishyoterbhoot 2 puts cartoonist to jail as he mocks #tmc 3 evens puts #CBI to jail as they tried to search for evidence regarding #sarada chitfund now is telling this #ModiJahanVikasWahan,SAFFRONCHOWKID1,"['bhobishyoterbhoot', 'tmc', 'CBI', 'sarada', 'ModiJahanVikasWahan']",2019-05-04,Sat,1124776867280457728,0,0.0,-0.1
Her don’t make a fool of me on prom night Me #SaturdayMorning #prom2k19 #Atlanta #99COSIGN #Baeday3 #MayThe4thBeWithYou #Fortnite #BREAKING #FAMUgrad19 #Coachella2019 #NBAPlayoffs #GetWhatYouWant #sugardaddies #Jacksonville #TMC #LosAngeles,officialnfglonz,"['SaturdayMorning', 'prom2k19', 'Atlanta', '99COSIGN', 'Baeday3', 'MayThe4thBeWithYou', 'Fortnite', 'BREAKING', 'FAMUgrad19', 'Coachella2019', 'NBAPlayoffs', 'GetWhatYouWant', 'sugardaddies', 'Jacksonville', 'TMC', 'LosAngeles']",2019-05-04,Sat,1124775122093654016,5,1.0,0.0
Khali D Dirt on My Name via video is going absolutely NUTS thank you guys I know it’s time #TMC,1Khalifornia,['TMC'],2019-05-04,Sat,1124771184107839489,0,0.0,0.2
It’s funny how as soon as we get more black names for our street signs white people want to live in it fast so we can’t live in our progress an will have to start over the process #staywoke #TMC,bsteezhoe,"['staywoke', 'TMC']",2019-05-04,Sat,1124768919242268672,0,0.0,0.15086580086580087
“Hip Hop Official Music Video Dropping Wednesday May 8th 7 P.M #SOHL #HipHop #Music #Love #TMC #Truth #Heart #FortWorth #Texas,Neosohl1,"['SOHL', 'HipHop', 'Music', 'Love', 'TMC', 'Truth', 'Heart', 'FortWorth', 'Texas']",2019-05-04,Sat,1124767864962076672,1,1.0,0.5
I just want a million dollars while I’m young #TMC,HUMBLEBOSSCEO,['TMC'],2019-05-04,Sat,1124766388558675969,1,0.0,0.1
Ryan Shazier is a dawg Dude got paralyzed on the field told he has a 20 chance of ever walking again &amp now the homie is able to do box jumps &amp do the Stankey leg at his wedding Respect #TMC,Withthe3rdpick,['TMC'],2019-05-04,Sat,1124763995653779458,0,0.0,0.5
Legend’s mama got the marathon going #TMC,amayalogie,['TMC'],2019-05-04,Sat,1124763349135179776,1,0.0,0.0
I’m not gone say listen to my shit ima just say don’t be on my dick when shit get rollin #EMG x #TMC,EMGxStoney,"['EMG', 'TMC']",2019-05-04,Sat,1124763168708804609,0,1.0,-0.2
April showers use to bring May flowers #TMC,Retired_EC_DBoi,['TMC'],2019-05-04,Sat,1124762269047562240,0,0.0,0.0
I was asked to speak to the kids at Dr Owen Knox Elementary School for Career Day discussing my path as an artist I was able to talk about my gallery showcase for Nipsey and the impact he has made on these kids is insane I can’t wait to do this again,theeartmom,[],2019-05-04,Sat,1124762128638824448,32,3.0,-0.06666666666666665
I ain’t forget about you and I never will I love you big,BentonKahari,[],2019-05-04,Sat,1124761326071484416,0,0.0,0.25
#YoungThug song speaking on #NipseyHussle #TMC,BlogStreetZ,"['YoungThug', 'NipseyHussle', 'TMC']",2019-05-04,Sat,1124760356289695747,0,0.0,0.0
