tweet,username,hash-tags,Date,Day,tweet_id,likes,retweets,polarity
tweet,username,hash-tags,Date,Day,tweet_id,likes,retweets,polarity
Google Uncle Sougata Roy eyeing his fourth LS term with aplomb #SougataRoy #AsimKumarDasgupta #NepaldebBhattacharya #SamikBhattacharya #TMC #CPIM #BJP #Congress #WestBengal #LokSabhaElections2019,pennewstweet,"['SougataRoy', 'AsimKumarDasgupta', 'NepaldebBhattacharya', 'SamikBhattacharya', 'TMC', 'CPIM', 'BJP', 'Congress', 'WestBengal', 'LokSabhaElections2019']",2019-05-06,Mon,1125248957846671360,0,0,0.0
vote for #cpim,comredamraram,['cpim'],2019-05-06,Mon,1125231479355785217,22,12,0.0
In a move to check bogus #voting Kerala's Chief Electoral Officer Teeka Ram Meena on May 5 directed his officials to verify the webcams in 43 #polling booths in the Kasargode #LokSabha constituency even as the ruling #CPIM has declared war on the #CEO. Photo IANS,ians_india,"['voting', 'polling', 'LokSabha', 'CPIM', 'CEO']",2019-05-05,Sun,1124941546183258113,0,0,0.0
#Congress #udf #ldf #cpim #cpm #iuml Dear prime minister Mr Narendra Modi now you can avoid press conference and media’s but one day you have to answer public... Am a right ???,kvmuhsin,"['Congress', 'udf', 'ldf', 'cpim', 'cpm', 'iuml']",2019-05-04,Sat,1124733969034092545,0,0,0.14285714285714285
Vote and Elect #CPIM Defeat BJP Alliance Ensure Secular Alternative Govt at Centre,SPandimuttam,['CPIM'],2019-05-04,Sat,1124686465869516800,5,3,0.8
#RahulGandhi #ArvindKejriwal #Mamtabanerjee #congress #cpim 56 56 56 of all Indian,NeerajM00526853,"['RahulGandhi', 'ArvindKejriwal', 'Mamtabanerjee', 'congress', 'cpim']",2019-05-04,Sat,1124646093608955904,3,1,0.0
Did he have the balls to joke like this during #CPIM reign? #MamataBanerjee provides freedom of speech and u use it to abuse her. #vote4left #cpimforworkers,RaymondChetri,"['CPIM', 'MamataBanerjee', 'vote4left', 'cpimforworkers']",2019-05-04,Sat,1124602846761164800,0,0,0.0
#karma See what happens when you kill farmers for their land and give to rich capitalists! #cpim #vote4left,RaymondChetri,"['karma', 'cpim', 'vote4left']",2019-05-04,Sat,1124602168676442114,1,0,0.46875
The BJP on Friday accused CPI(M general secretary Sitaram Yechury of linking Hinduism with violence #CPIM #SitaramYechury,SakshiPost,"['CPIM', 'SitaramYechury']",2019-05-04,Sat,1124586717070028801,0,0,0.05000000000000002
Vote for #CPIM,DyfiEast,['CPIM'],2019-05-04,Sat,1124547047053332481,9,5,0.0
We want the finest party that means whose brightness reflect by work instead of lecture It can be #BJP or can be #CONGRESS but not gain #CPIM after 30 yr) _Devvarma,Supratim97,"['BJP', 'CONGRESS', 'CPIM']",2019-05-04,Sat,1124519021141839873,2,0,0.0
#CPIM party office in #PatharPratima #CycloneFani #ReliefCamp #WestBengal Images of yesterday night,CpimWBS,"['CPIM', 'PatharPratima', 'CycloneFani', 'ReliefCamp', 'WestBengal']",2019-05-04,Sat,1124514829144690688,16,5,0.0
Deepest condolences to those in #India &amp #Bangladesh affected by #CycloneFani This deadly #Cyclone has caused much destruction &amp we send our #Love to all victims &amp their families &amp loved ones Love to the #CPIM too-I hope you are all well Comrades Fight on,StalinIsBack,"['India', 'Bangladesh', 'CycloneFani', 'Cyclone', 'Love', 'CPIM']",2019-05-04,Sat,1124488752859156481,1,1,0.34
_suneel Infact it was just the #CPIM politicians and a few useless activist You can't blame.the entire #Kerala people They stood strong against communist onslaught in solidarity of #Sabrimala,RudraTryambakam,"['CPIM', 'Kerala', 'Sabrimala']",2019-05-03,Fri,1124362225899098112,0,0,-0.06666666666666668
Sitaram Yechury LOOK BEFORE YOU LEAP #BJP #CPIM,DhirajSethiya,"['BJP', 'CPIM']",2019-05-03,Fri,1124343965476474881,2,0,0.0
