tweet,username,hash-tags,Date,Day,tweet_id,likes,retweets,polarity
#TejPratapYadav should join #BJP against #TejashwiYadav #bihar #LokSabhaElections2019,naashonomics,"['TejPratapYadav', 'BJP', 'TejashwiYadav', 'bihar', 'LokSabhaElections2019']",2019-05-04,Sat,1124787066464718848,0,0.1,0.0
Review of Gas Cylinder price under #Modi lead #bjp govt by #thebrandamitdatta #saturdaythoughts #narendramodi #rahulgandhi #ElectionsWithNews18 #loksabhaelections2019 #loksabha2019 …,Dattaamit11Amit,"['Modi', 'bjp', 'thebrandamitdatta', 'saturdaythoughts', 'narendramodi', 'rahulgandhi', 'ElectionsWithNews18', 'loksabhaelections2019', 'loksabha2019']",2019-05-04,Sat,1124786809526018049,0,0.0,0.0
#BJP running a panicky campaign says #Rahul,GulfTimes_QATAR,"['BJP', 'Rahul']",2019-05-04,Sat,1124786336836222977,0,0.0,0.0
It was long coming By giving ticket to a terror accused #BJP has brought us in the same category of Pakistan The image of India's democracy has been turnished and we as a coutry would need many years to come out of this 'dhabba' Yet #bhakts are suporting this shamelessly,SamratChoudhury,"['BJP', 'bhakts']",2019-05-04,Sat,1124785849046933509,0,0.0,0.15
_Rashid Only option of #BJP,ak_xaik,['BJP'],2019-05-04,Sat,1124783895713476608,0,0.0,0.0
Is this the same Rajat who is a friend of is Rajat a nominated MP by #Bjp this kalank never asked about intelligence failure at #Pulwama nvr asked abt Kulbushan Jadhav NVR asked abt why #NSSO data not released 4m 2015 NVR asked abt high unemployment #ModiOnAajTak,BernardDmello,"['Bjp', 'Pulwama', 'NSSO', 'ModiOnAajTak']",2019-05-04,Sat,1124783891196272641,0,0.0,-0.05222222222222223
_rathee What else can be expected from #cheap #BJP #makingHistory by stooping to lowest,iamnumpty,"['cheap', 'BJP', 'makingHistory']",2019-05-04,Sat,1124780022106132480,0,0.0,0.15000000000000002
#BJP can stoop to any level #makingHistory,iamnumpty,"['BJP', 'makingHistory']",2019-05-04,Sat,1124779270117765120,0,0.0,0.0
_6 Leaders of #BJP get carried away by attributing all hate speeches to right to freedom of expression of the person who is making it they don’t enforce party level discipline to prevent such hate speeches Till #polarization helps them they are fine with it.,smoiz,"['BJP', 'polarization']",2019-05-04,Sat,1124776791409926146,0,0.0,-0.17952380952380956
Watch this video and decide for yojrself that #Modi and #BJP are destroying #Indian stature abroad or strengthning it.,HibaYazdani,"['Modi', 'BJP', 'Indian']",2019-05-04,Sat,1124776528036925441,0,0.0,-0.2
"This again a continuation &amp series of Mob Lynching initiated &amp protected by #BJP for Hindu votes,killed more than 50 people under #Modi regime Cow smuggling,cattle theft Beef possession,Beef eating reasons killed many.Mahesh Yadav the is latest victim of Gaumaata madness #BJP",Khan_hits,"['BJP', 'Modi', 'BJP']",2019-05-04,Sat,1124776174394101761,0,0.0,0.11833333333333335
I saw congress Nyay yojna poster carefully someone told me this poster was edited Whatever but think our respectable granny wasn't given Nyay from congress since her childhood and now she is granny Do we all want the same conditions when we become grandpa or grandma?#bjp,Raaja181101Raa,['bjp'],2019-05-04,Sat,1124771333751984128,0,0.0,0.13333333333333333
that means people are also going to vote for goons...as quoted once Fir toh #BJP hi,ravimanuja,['BJP'],2019-05-04,Sat,1124769263540215810,0,0.0,0.0
Kashmiri joining #BJP shot dead What else did he expect after joining such a wretched anti Kashmiri party?,AghaHussainReal,['BJP'],2019-05-04,Sat,1124766993570250752,0,0.0,-0.1
"*Overheard at a bus stop* Man 1 ""#BJP will win the #election because of our asses."" Man 2 WHAT Man 3 Arre he meant ""BJP will win election because of RSS.""",prashant_k18,"['BJP', 'election']",2019-05-04,Sat,1124766805300432897,0,0.0,0.8
"#ShekharGurera #Cartoon on May05,2019 #BJP #AAP #PMModi #NarendraModi #BJPScaredOfKejriwal #KejriwalKiKutai #KejriwalSlapped #ArvindKejriwal #ElectionCommissionOfIndia #LokSabhaElections2019 #Elections2019",GureraShekhar,"['ShekharGurera', 'Cartoon', 'BJP', 'AAP', 'PMModi', 'NarendraModi', 'BJPScaredOfKejriwal', 'KejriwalKiKutai', 'KejriwalSlapped', 'ArvindKejriwal', 'ElectionCommissionOfIndia', 'LokSabhaElections2019', 'Elections2019']",2019-05-04,Sat,1124766122681569280,1,0.0,0.0
"Common you're not so naive to understand that low voter turnout will help #NC win,which will form alliance with #BJP inturn will help quash #article370.(who are these 8 voters anyway).",cartooncorner,"['NC', 'BJP', 'article370']",2019-05-04,Sat,1124765726198255616,0,0.0,-0.2
stop pointing at educational qualification and tell us your contribution as politician tell us about your contribution towards the people of this country i can tell you 18 major contribution towards the society by smriti irani #BJP #BJPWinningAmethi,MyCorner20,"['BJP', 'BJPWinningAmethi']",2019-05-04,Sat,1124765024931667968,0,0.0,0.15625
thats the problem .. every thing #BJP can justify as right becomes right Isnt this hypocrisy when on one hand you wear #SurgicalStrikes as badge and on the other hand you pick a person on trial for terror blatantly as your candidate !! #Dangerouspolitics,debashreeb,"['BJP', 'SurgicalStrikes', 'Dangerouspolitics']",2019-05-04,Sat,1124764200398516225,0,0.0,-0.08370535714285715
"#BJP is not but &amp His manager are fighting the battle of elections in this country &amp the ""Karyakarta is missing from the battle. #LoksabhaElections2019 _Resists _Rashid _sm",ferozsuri,"['BJP', 'LoksabhaElections2019']",2019-05-04,Sat,1124763667772239872,0,0.0,-0.2
Lol I live in #UttarPradesh ma'am and can guarantee you that #BJP is gonna get huge success here People are extremely happy with and ji At least talk to real people before you write anything Trivedi ji #TumseNaHoPaega,TheVikrantSingh,"['UttarPradesh', 'BJP', 'TumseNaHoPaega']",2019-05-04,Sat,1124763474586886144,0,0.0,0.3337662337662338
Year After Garlanding #Jharkhand #Lynching Accused Reveals BJP Paid Their Legal Fees #AntiNational #BJP,varnishant,"['Jharkhand', 'Lynching', 'AntiNational', 'BJP']",2019-05-04,Sat,1124763195715903488,0,0.0,0.2
If this is your work then please do it honestly Visit those villages which are adopted by Hon'ble MPs of #bjp You must visit #NarendraModi's adopted village See the poor situation &amp telecast it,BeingDebjoy,"['bjp', 'NarendraModi']",2019-05-04,Sat,1124761266839408645,0,0.0,0.09999999999999998
#ElectionTimes #Joke ?? Even for #ModiJi's fanfare rally for his nomination in #Varanasi crowd was goaded from #Gujarat !! Possible to believe this ? Phew.. Too much of an ASK !! #ElectionCommission #JammuAndKashmir #Jammu #ModiWave #ModiNeverAgain #BJP #RSspirit,NeedhiMurasu,"['ElectionTimes', 'Joke', 'ModiJi', 'Varanasi', 'Gujarat', 'ElectionCommission', 'JammuAndKashmir', 'Jammu', 'ModiWave', 'ModiNeverAgain', 'BJP', 'RSspirit']",2019-05-04,Sat,1124761027134885889,1,1.0,0.15625
There will be two more similar attempts i am told to breach trust between BSP &amp SP .This is a #BJP strategy,DeepalTrevedie,['BJP'],2019-05-04,Sat,1124760560334245890,5,1.0,0.25
#Congress Lists 6 #SurgicalStrikes During Its Tenure Returns #BJP Barbs,BeingDebjoy,"['Congress', 'SurgicalStrikes', 'BJP']",2019-05-04,Sat,1124758289663680513,0,0.0,0.0
BJP leader shot dead by terrorists in South Kashmir Report #Bjp,Oneindia,['Bjp'],2019-05-04,Sat,1124758102425739264,0,2.0,-0.2
#BJP is actually at its worst n it can't gain the prestige earned due to #atalbiharivajpayee speech is far better graceful n meaningful than #modi n #AmitShah speech Chowkidar _gadkari #LokSabhaElections2019,sanjay_samras,"['BJP', 'atalbiharivajpayee', 'modi', 'AmitShah', 'LokSabhaElections2019']",2019-05-04,Sat,1124757506410999808,0,0.0,-0.004166666666666653
#BJP is losing its grace day by day It is now become the most disgraced party. #LokSabhaElections2019,imnazim,"['BJP', 'LokSabhaElections2019']",2019-05-04,Sat,1124757283919892480,0,0.0,0.5
The only industry that saves the liberal face of India in the eyes of the world is Bollywood Minus Bollywood leaves typical ingrained hate-filled mindset. #Modi #BJP,SafiSZK,"['Modi', 'BJP']",2019-05-04,Sat,1124756937940373504,6,1.0,-0.08888888888888889
Oh ! Aisa kya ? I thought #BJP offered a #3BHK to _sgh,BholaSpeaks,"['BJP', '3BHK']",2019-05-04,Sat,1124756281481252864,0,1.0,0.0
Commentators say UP and MP is likely to go #BJP way What are others hearing _BSF,NudgeIndia,['BJP'],2019-05-04,Sat,1124756215651680256,0,0.0,0.0
AAP supporter slapped #ArvindKejirwal. SICKulars are condemning it. How many of them condemned killing of #BJP workers in #WestBengal by #TMC goons of #MamataBanerjee or killing of #BJP leader Gul Mohammad Mir in #Anantnag,RanjitSMand,"['ArvindKejirwal', 'BJP', 'WestBengal', 'TMC', 'MamataBanerjee', 'BJP', 'Anantnag']",2019-05-04,Sat,1124755728881868802,1,0.0,0.5
Furious Maya says Cong’s Guna manoeuvre may prove costly #Furious #Mayawati #Congress #Guna #manoeuvre #BahujanSamajParty #MadhyaPradesh #LokendraSinghRajput #NarendraModi #BJP #LokSabhaElections2019,pennewstweet,"['Furious', 'Mayawati', 'Congress', 'Guna', 'manoeuvre', 'BahujanSamajParty', 'MadhyaPradesh', 'LokendraSinghRajput', 'NarendraModi', 'BJP', 'LokSabhaElections2019']",2019-05-04,Sat,1124754539809202177,0,0.0,0.0
No one is safe under this Govt...Every day I see news coming of attack on our security forces ... #Modi #BJP #BSP #MahaGathbandhan #MahaParivartan #Lucknow,2311abhishek,"['Modi', 'BJP', 'BSP', 'MahaGathbandhan', 'MahaParivartan', 'Lucknow']",2019-05-04,Sat,1124754312721305605,0,0.0,0.5
Look how difficult it was for to accept the fact that one of #BJP's candidate is still facing terror charges and has not been acquitted by a court of law. Wish it was this difficult for them to field her in the first place. #LoksabhaElections2019,KaustubhMehta97,"['BJP', 'LoksabhaElections2019']",2019-05-04,Sat,1124754296304754688,0,0.0,-0.25
